Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Livrable 1 — Référentiel de données",2025-10-06,2025-10-17,10 day,0,"","",,"<p><br></p>"
2,2,"Analyse du sujet et besoins",2025-10-06,2025-10-06,1 day,0,"","Chef de projet",,"<p><br></p>"
2,3,"Étude des sources de données",2025-10-07,2025-10-07,1 day,0,"2FS","Data Engineer",,"<p><br></p>"
2,4,"Modélisation conceptuelle (MCD)",2025-10-08,2025-10-09,2 day,0,"2,3FS","Data Architect",,"<p><br></p>"
2,5,"Schéma décisionnel (étoile/flocon)",2025-10-10,2025-10-10,1 day,0,"4FS","Data Architect",,"<p><br></p>"
2,6,"Jobs ETL initiaux",2025-10-13,2025-10-14,2 day,0,"5FS","Data Engineer",,"<p><br></p>"
2,7,"Validation + doc Livrable 1",2025-10-15,2025-10-17,3 day,0,"6FS","Tous",,"<p><br></p>"
1,8,"Livrable 2 — Modèle physique et optimisation",2025-10-20,2025-10-24,5 day,0,"1FS","",,"<p><br></p>"
2,9,"Tables physiques",2025-10-20,2025-10-20,1 day,0,"7FS","Data Engineer",,"<p><br></p>"
2,10,"Chargement & validation des données",2025-10-21,2025-10-21,1 day,0,"9FS","Data Engineer",,"<p><br></p>"
2,11,"Tests de requêtes & mesures",2025-10-22,2025-10-23,2 day,0,"10FS","Data Analyst",,"<p><br></p>"
2,12,"Optimisations (partitionnement/indexation/buckets)",2025-10-24,2025-10-24,1 day,0,"11FS","Data Engineer",,"<p><br></p>"
1,13,"Livrable 3 — Présentation & storytelling",2025-10-27,2025-10-31,5 day,0,"8FS","",,"<p><br></p>"
2,14,"Sélection des KPIs",2025-10-27,2025-10-27,1 day,0,"12FS","Data Analyst",,"<p><br></p>"
2,15,"Création du tableau de bord",2025-10-28,2025-10-29,2 day,0,"14FS","BI Developer",,"<p><br></p>"
2,16,"Storytelling & interprétation",2025-10-30,2025-10-30,1 day,0,"15FS","Data Analyst",,"<p><br></p>"
2,17,"Préparation de la soutenance",2025-10-31,2025-10-31,1 day,0,"16FS","Tous",,"<p><br></p>"
